Fréquence (Hz)	Niveau (dB)
43.066406	-37.531128
86.132813	-35.216503
129.199219	-19.546993
172.265625	-32.271797
215.332031	-30.004612
258.398438	-19.584673
301.464844	-27.518726
344.531250	-29.515997
387.597656	-19.752779
430.664063	-22.250298
473.730469	-22.092087
516.796875	-10.607121
559.863281	-15.728939
602.929688	-26.360600
645.996094	-26.188774
689.062500	-25.601103
732.128906	-33.504456
775.195313	-31.568050
818.261719	-27.977591
861.328125	-35.344730
904.394531	-27.728765
947.460938	-25.933157
990.527344	-36.639282
1033.593750	-36.248474
1076.660156	-36.020321
1119.726563	-39.703621
1162.792969	-41.478050
1205.859375	-40.661652
1248.925781	-42.885612
1291.992188	-43.960979
1335.058594	-44.589802
1378.125000	-44.180634
1421.191406	-44.780037
1464.257813	-44.985760
1507.324219	-44.011337
1550.390625	-46.726532
1593.457031	-46.452862
1636.523438	-46.870609
1679.589844	-47.922306
1722.656250	-49.281128
1765.722656	-46.428909
1808.789063	-47.262516
1851.855469	-48.712597
1894.921875	-47.203163
1937.988281	-48.916996
1981.054688	-49.564178
2024.121094	-48.519424
2067.187500	-50.134815
2110.253906	-50.797939
2153.320313	-49.493492
2196.386719	-43.899551
2239.453125	-48.328350
2282.519531	-43.805538
2325.585938	-39.605400
2368.652344	-43.188755
2411.718750	-38.050262
2454.785156	-31.510263
2497.851563	-42.748737
2540.917969	-43.859097
2583.984375	-40.623665
2627.050781	-47.288120
2670.117188	-50.604012
2713.183594	-45.264626
2756.250000	-50.798805
2799.316406	-49.722954
2842.382813	-43.812862
2885.449219	-44.539181
2928.515625	-47.612694
2971.582031	-38.092941
3014.648438	-36.591240
3057.714844	-41.423386
3100.781250	-33.324245
3143.847656	-30.403973
3186.914063	-35.495815
3229.980469	-28.805313
3273.046875	-25.972895
3316.113281	-33.146938
3359.179688	-34.002155
3402.246094	-33.048050
3445.312500	-38.923660
3488.378906	-41.108250
3531.445313	-41.632782
3574.511719	-43.384850
3617.578125	-46.492107
3660.644531	-47.976852
3703.710938	-48.371738
3746.777344	-49.259327
3789.843750	-50.289627
3832.910156	-50.255287
3875.976563	-51.124454
3919.042969	-51.198952
3962.109375	-51.531437
4005.175781	-52.177895
4048.242188	-52.198734
4091.308594	-52.543030
4134.375000	-52.961655
4177.441406	-52.966030
4220.507813	-53.601776
4263.574219	-53.469406
4306.640625	-54.018692
4349.707031	-53.347080
4392.773438	-53.312878
4435.839844	-54.053246
4478.906250	-53.529640
4521.972656	-54.054119
4565.039063	-54.339520
4608.105469	-54.901859
4651.171875	-53.989399
4694.238281	-53.950844
4737.304688	-54.222214
4780.371094	-53.558296
4823.437500	-54.622055
4866.503906	-54.789639
4909.570313	-54.907806
4952.636719	-55.560192
4995.703125	-56.043549
5038.769531	-55.736839
5081.835938	-56.058949
5124.902344	-56.232609
5167.968750	-56.083832
5211.035156	-56.324684
5254.101563	-56.374702
5297.167969	-56.421928
5340.234375	-56.705921
5383.300781	-56.569180
5426.367188	-56.960041
5469.433594	-56.867928
5512.500000	-57.037815
5555.566406	-57.008369
5598.632813	-57.151215
5641.699219	-57.449024
5684.765625	-57.123199
5727.832031	-57.220734
5770.898438	-57.590488
5813.964844	-57.473293
5857.031250	-57.535244
5900.097656	-57.532688
5943.164063	-57.272278
5986.230469	-57.829414
6029.296875	-56.925816
6072.363281	-57.930573
6115.429688	-58.137722
6158.496094	-58.045311
6201.562500	-58.202740
6244.628906	-58.359276
6287.695313	-58.643257
6330.761719	-58.620815
6373.828125	-58.455017
6416.894531	-58.329712
6459.960938	-57.718456
6503.027344	-58.507626
6546.093750	-57.584900
6589.160156	-57.469662
6632.226563	-57.165417
6675.292969	-58.075367
6718.359375	-53.847099
6761.425781	-56.975124
6804.492188	-59.012745
6847.558594	-57.624584
6890.625000	-55.684193
6933.691406	-55.216335
6976.757813	-55.016594
7019.824219	-55.801086
7062.890625	-57.553673
7105.957031	-57.281124
7149.023438	-57.894951
7192.089844	-58.978745
7235.156250	-57.654873
7278.222656	-57.682629
7321.289063	-59.523464
7364.355469	-58.030033
7407.421875	-60.031635
7450.488281	-58.943916
7493.554688	-58.807495
7536.621094	-59.371838
7579.687500	-58.605511
7622.753906	-59.129436
7665.820313	-58.964558
7708.886719	-58.798409
7751.953125	-58.101521
7795.019531	-59.039337
7838.085938	-60.204437
7881.152344	-60.003807
7924.218750	-59.887814
7967.285156	-60.402088
8010.351563	-60.102184
8053.417969	-60.328064
8096.484375	-60.873589
8139.550781	-60.299034
8182.617188	-60.618767
8225.683594	-60.513882
8268.750000	-60.623802
8311.816406	-60.595123
8354.882813	-60.803764
8397.949219	-60.808258
8441.015625	-60.711536
8484.082031	-60.609386
8527.148438	-60.592281
8570.214844	-60.852951
8613.281250	-60.797325
8656.347656	-60.773987
8699.414063	-61.174374
8742.480469	-60.860661
8785.546875	-61.665451
8828.613281	-60.820232
8871.679688	-61.316444
8914.746094	-61.530411
8957.812500	-61.160545
9000.878906	-61.046844
9043.945313	-61.329872
9087.011719	-61.503445
9130.078125	-61.692997
9173.144531	-61.384148
9216.210938	-61.395634
9259.277344	-61.448414
9302.343750	-61.468727
9345.410156	-61.411461
9388.476563	-61.710911
9431.542969	-61.669659
9474.609375	-61.511044
9517.675781	-61.512630
9560.742188	-61.925297
9603.808594	-61.921631
9646.875000	-61.655865
9689.941406	-62.065865
9733.007813	-61.831932
9776.074219	-62.176476
9819.140625	-62.357925
9862.207031	-62.089584
9905.273438	-62.219650
9948.339844	-62.143101
9991.406250	-61.916809
10034.472656	-61.943413
10077.539063	-62.713036
10120.605469	-62.387341
10163.671875	-61.338314
10206.738281	-62.226620
10249.804688	-62.625576
10292.871094	-61.954117
10335.937500	-62.320534
10379.003906	-62.731308
10422.070313	-62.263611
10465.136719	-62.385048
10508.203125	-62.499428
10551.269531	-62.411316
10594.335938	-62.592525
10637.402344	-63.226231
10680.468750	-62.547401
10723.535156	-62.981838
10766.601563	-62.549641
10809.667969	-62.757778
10852.734375	-63.011723
10895.800781	-62.790585
10938.867188	-62.440914
10981.933594	-62.630894
11025.000000	-63.224438
11068.066406	-63.410072
11111.132813	-62.897831
11154.199219	-62.756855
11197.265625	-62.837917
11240.332031	-63.002907
11283.398438	-63.063446
11326.464844	-62.705753
11369.531250	-63.145863
11412.597656	-63.233303
11455.664063	-63.455631
11498.730469	-63.281185
11541.796875	-63.151115
11584.863281	-63.367229
11627.929688	-63.177544
11670.996094	-63.373032
11714.062500	-63.154903
11757.128906	-63.713772
11800.195313	-63.658417
11843.261719	-63.211914
11886.328125	-63.184601
11929.394531	-63.327591
11972.460938	-63.486061
12015.527344	-63.304157
12058.593750	-63.599003
12101.660156	-63.580887
12144.726563	-63.341301
12187.792969	-63.555775
12230.859375	-63.443829
12273.925781	-63.354877
12316.992188	-63.928989
12360.058594	-63.731220
12403.125000	-63.716618
12446.191406	-63.679115
12489.257813	-64.051956
12532.324219	-63.694801
12575.390625	-64.158600
12618.457031	-63.726913
12661.523438	-63.547436
12704.589844	-64.012329
12747.656250	-64.023499
12790.722656	-63.717201
12833.789063	-63.921139
12876.855469	-63.731319
12919.921875	-63.971516
12962.988281	-63.958477
13006.054688	-63.613289
13049.121094	-63.955170
13092.187500	-64.298248
13135.253906	-63.758492
13178.320313	-64.219582
13221.386719	-63.880901
13264.453125	-64.327545
13307.519531	-64.103928
13350.585938	-64.041176
13393.652344	-64.288330
13436.718750	-64.150803
13479.785156	-64.353111
13522.851563	-64.006798
13565.917969	-64.398720
13608.984375	-64.219940
13652.050781	-64.195145
13695.117188	-64.314758
13738.183594	-64.391190
13781.250000	-64.247299
13824.316406	-64.460854
13867.382813	-64.297585
13910.449219	-64.508926
13953.515625	-64.683701
13996.582031	-64.177162
