Fréquence (Hz)	Niveau (dB)
43.066406	-41.620396
86.132813	-38.855915
129.199219	-21.416199
172.265625	-37.445694
215.332031	-31.727350
258.398438	-18.784437
301.464844	-31.279869
344.531250	-25.695601
387.597656	-18.743738
430.664063	-33.398903
473.730469	-30.060192
516.796875	-26.170506
559.863281	-38.076626
602.929688	-35.866730
645.996094	-32.867943
689.062500	-40.439701
732.128906	-36.086319
775.195313	-32.976585
818.261719	-34.898956
861.328125	-26.717823
904.394531	-24.354794
947.460938	-36.060638
990.527344	-38.916801
1033.593750	-41.526157
1076.660156	-43.949417
1119.726563	-45.346905
1162.792969	-44.748856
1205.859375	-46.966602
1248.925781	-48.938381
1291.992188	-49.884773
1335.058594	-50.734715
1378.125000	-51.165535
1421.191406	-51.893024
1464.257813	-52.426991
1507.324219	-53.761955
1550.390625	-53.347240
1593.457031	-53.641975
1636.523438	-54.226723
1679.589844	-54.801495
1722.656250	-54.960941
1765.722656	-55.285927
1808.789063	-55.375477
1851.855469	-54.833920
1894.921875	-55.114796
1937.988281	-55.416481
1981.054688	-55.895264
2024.121094	-54.956120
2067.187500	-56.032906
2110.253906	-56.554073
2153.320313	-52.352413
2196.386719	-55.748276
2239.453125	-56.397930
2282.519531	-49.705280
2325.585938	-51.889019
2368.652344	-52.773464
2411.718750	-43.337711
2454.785156	-47.384655
2497.851563	-51.633877
2540.917969	-51.888981
2583.984375	-53.368114
2627.050781	-55.248920
2670.117188	-53.980057
2713.183594	-55.643394
2756.250000	-58.161343
2799.316406	-54.072704
2842.382813	-55.633160
2885.449219	-55.401993
2928.515625	-48.201942
2971.582031	-49.794231
3014.648438	-48.658455
3057.714844	-44.351833
3100.781250	-46.891201
3143.847656	-44.541424
3186.914063	-40.484100
3229.980469	-47.356838
3273.046875	-50.949081
3316.113281	-45.284912
3359.179688	-50.111481
3402.246094	-52.580750
3445.312500	-50.628532
3488.378906	-55.141788
3531.445313	-57.604946
3574.511719	-52.551346
3617.578125	-57.204502
3660.644531	-57.966579
3703.710938	-58.168850
3746.777344	-60.710030
3789.843750	-60.780941
3832.910156	-60.865345
3875.976563	-61.095390
3919.042969	-61.206459
3962.109375	-61.483616
4005.175781	-62.314663
4048.242188	-62.254189
4091.308594	-61.983536
4134.375000	-62.786556
4177.441406	-62.825718
4220.507813	-62.782448
4263.574219	-63.238358
4306.640625	-63.349396
4349.707031	-62.885540
4392.773438	-63.020199
4435.839844	-63.817062
4478.906250	-63.350079
4521.972656	-63.728188
4565.039063	-63.958660
4608.105469	-63.846176
4651.171875	-63.052952
4694.238281	-64.341499
4737.304688	-64.581856
4780.371094	-64.184448
4823.437500	-64.396172
4866.503906	-64.529800
4909.570313	-64.873947
4952.636719	-65.263847
4995.703125	-64.227837
5038.769531	-64.582069
5081.835938	-64.762535
5124.902344	-65.279663
5167.968750	-64.758888
5211.035156	-65.426697
5254.101563	-65.839851
5297.167969	-65.185860
5340.234375	-65.495979
5383.300781	-66.187630
5426.367188	-65.397324
5469.433594	-65.398689
5512.500000	-66.095795
5555.566406	-65.602974
5598.632813	-65.667641
5641.699219	-66.440666
5684.765625	-65.678139
5727.832031	-66.371246
5770.898438	-66.243477
5813.964844	-67.609482
5857.031250	-65.633331
5900.097656	-66.863853
5943.164063	-66.548622
5986.230469	-66.522888
6029.296875	-66.890778
6072.363281	-66.963440
6115.429688	-66.383896
6158.496094	-66.459183
6201.562500	-66.967346
6244.628906	-67.696419
6287.695313	-67.594902
6330.761719	-67.583725
6373.828125	-67.496597
6416.894531	-67.096405
6459.960938	-66.669518
6503.027344	-66.234367
6546.093750	-65.910141
6589.160156	-66.514107
6632.226563	-67.504547
6675.292969	-67.236694
6718.359375	-67.027519
6761.425781	-68.996132
6804.492188	-68.212936
6847.558594	-66.597168
6890.625000	-67.747681
6933.691406	-67.618111
6976.757813	-67.498329
7019.824219	-68.397888
7062.890625	-67.309425
7105.957031	-67.848412
7149.023438	-67.094604
7192.089844	-68.020050
7235.156250	-65.672951
7278.222656	-65.318153
7321.289063	-65.209816
7364.355469	-67.293243
7407.421875	-63.837162
7450.488281	-64.799286
7493.554688	-66.485344
7536.621094	-68.321625
7579.687500	-67.822128
7622.753906	-66.467743
7665.820313	-67.050705
7708.886719	-65.389992
7751.953125	-66.307510
7795.019531	-68.508629
7838.085938	-68.622673
7881.152344	-67.332596
7924.218750	-66.199867
7967.285156	-65.661964
8010.351563	-64.665482
8053.417969	-66.822495
8096.484375	-68.140701
8139.550781	-68.077888
8182.617188	-69.112572
8225.683594	-68.766258
8268.750000	-68.981300
8311.816406	-68.745117
8354.882813	-69.054764
8397.949219	-69.480385
8441.015625	-68.667480
8484.082031	-69.231293
8527.148438	-69.012733
8570.214844	-66.672638
8613.281250	-67.241508
8656.347656	-68.999611
8699.414063	-68.984482
8742.480469	-69.446175
8785.546875	-68.498894
8828.613281	-70.219505
8871.679688	-68.690689
8914.746094	-69.542908
8957.812500	-69.390839
9000.878906	-69.706139
9043.945313	-69.870300
9087.011719	-69.892250
9130.078125	-70.387581
9173.144531	-69.989723
9216.210938	-69.780205
9259.277344	-70.259384
9302.343750	-69.795311
9345.410156	-70.318550
9388.476563	-69.711082
9431.542969	-70.280457
9474.609375	-68.806335
9517.675781	-68.156776
9560.742188	-70.410088
9603.808594	-68.665237
9646.875000	-67.814949
9689.941406	-70.354332
9733.007813	-68.774536
9776.074219	-68.979004
9819.140625	-70.319244
9862.207031	-70.759178
9905.273438	-70.262863
9948.339844	-70.541908
9991.406250	-69.960175
10034.472656	-69.246521
10077.539063	-70.831360
10120.605469	-69.934196
10163.671875	-67.670479
10206.738281	-68.372574
10249.804688	-68.914711
10292.871094	-72.395859
10335.937500	-71.979538
10379.003906	-71.277748
10422.070313	-71.293304
10465.136719	-71.390236
10508.203125	-70.734734
10551.269531	-71.051109
10594.335938	-70.943047
10637.402344	-72.504883
10680.468750	-71.633537
10723.535156	-71.672455
10766.601563	-72.200287
10809.667969	-70.902916
10852.734375	-71.807472
10895.800781	-69.853661
10938.867188	-71.626518
10981.933594	-70.452217
11025.000000	-70.966324
11068.066406	-71.127991
11111.132813	-71.692459
11154.199219	-71.336998
11197.265625	-71.597382
11240.332031	-70.687401
11283.398438	-73.287407
11326.464844	-71.801361
11369.531250	-71.739326
11412.597656	-70.904213
11455.664063	-71.217010
11498.730469	-71.818138
11541.796875	-71.917793
11584.863281	-71.873711
11627.929688	-71.970657
11670.996094	-70.418594
11714.062500	-71.185974
11757.128906	-71.789894
11800.195313	-72.453857
11843.261719	-72.152626
11886.328125	-71.787117
11929.394531	-72.290222
11972.460938	-72.098625
12015.527344	-71.863358
12058.593750	-71.138573
12101.660156	-71.709099
12144.726563	-71.114403
12187.792969	-71.546394
12230.859375	-72.486717
12273.925781	-72.145981
12316.992188	-72.899361
12360.058594	-72.117584
12403.125000	-71.662819
12446.191406	-71.526199
12489.257813	-72.304565
12532.324219	-71.717773
12575.390625	-72.130829
12618.457031	-72.263802
12661.523438	-72.087746
12704.589844	-72.693207
12747.656250	-72.282120
12790.722656	-72.022552
12833.789063	-72.654915
12876.855469	-73.271317
12919.921875	-72.300034
12962.988281	-71.507759
13006.054688	-73.369041
13049.121094	-72.134705
13092.187500	-72.813393
13135.253906	-72.613419
13178.320313	-72.173866
13221.386719	-72.481056
13264.453125	-72.013954
13307.519531	-72.734703
13350.585938	-72.500313
13393.652344	-73.683220
13436.718750	-72.462555
13479.785156	-72.387894
13522.851563	-72.558182
13565.917969	-72.722252
13608.984375	-73.659821
13652.050781	-73.284363
13695.117188	-73.472305
13738.183594	-71.719002
13781.250000	-72.424919
13824.316406	-73.516655
13867.382813	-73.936737
13910.449219	-71.585152
13953.515625	-73.744049
13996.582031	-71.956985
14039.648438	-72.006523
14082.714844	-72.146088
14125.781250	-72.720299
14168.847656	-72.574638
14211.914063	-73.759041
14254.980469	-73.001022
14298.046875	-72.600342
14341.113281	-72.474579
14384.179688	-73.312378
14427.246094	-73.492584
14470.312500	-73.183090
14513.378906	-72.485542
14556.445313	-73.052551
14599.511719	-73.655800
14642.578125	-73.363899
14685.644531	-73.659843
14728.710938	-74.006828
14771.777344	-73.464066
14814.843750	-72.719650
14857.910156	-72.870247
14900.976563	-72.434616
14944.042969	-72.841682
14987.109375	-72.527298
15030.175781	-73.617188
15073.242188	-73.906975
15116.308594	-72.831741
15159.375000	-73.061737
15202.441406	-72.970322
15245.507813	-73.133598
15288.574219	-73.517059
15331.640625	-74.240265
15374.707031	-73.824379
15417.773438	-74.011688
15460.839844	-72.325073
15503.906250	-73.119606
15546.972656	-73.163666
15590.039063	-72.678322
15633.105469	-73.874306
15676.171875	-73.053253
15719.238281	-73.814980
15762.304688	-73.823624
15805.371094	-74.300636
15848.437500	-73.971443
15891.503906	-74.610374
15934.570313	-73.274513
15977.636719	-72.594101
16020.703125	-74.520882
16063.769531	-73.991501
16106.835938	-73.460304
16149.902344	-72.858566
16192.968750	-73.838264
16236.035156	-74.711823
16279.101563	-73.518890
16322.167969	-74.061035
16365.234375	-72.230476
16408.300781	-73.264275
16451.367188	-73.426582
16494.433594	-74.166000
16537.500000	-73.997559
16580.566406	-74.801361
16623.632813	-73.384735
16666.699219	-73.402939
16709.765625	-73.691025
16752.832031	-74.052605
16795.898438	-74.143463
16838.964844	-73.254738
16882.031250	-72.949165
16925.097656	-74.197578
16968.164063	-74.752037
17011.230469	-74.007263
17054.296875	-74.796570
17097.363281	-72.943901
17140.429688	-73.881897
17183.496094	-73.779457
17226.562500	-73.043327
17269.628906	-73.365356
17312.695313	-73.664673
17355.761719	-73.023285
17398.828125	-73.237160
17441.894531	-73.849739
17484.960938	-73.927933
17528.027344	-73.151009
17571.093750	-72.791328
17614.160156	-74.471352
17657.226563	-73.910767
17700.292969	-73.078178
17743.359375	-74.082474
17786.425781	-73.564384
17829.492188	-74.336151
17872.558594	-73.464737
17915.625000	-73.571541
17958.691406	-74.729279
18001.757813	-74.342979
18044.824219	-75.359856
18087.890625	-74.171440
18130.957031	-74.073952
18174.023438	-74.510246
18217.089844	-72.951118
18260.156250	-75.180275
18303.222656	-73.482613
18346.289063	-72.550674
18389.355469	-74.520386
18432.421875	-73.234566
18475.488281	-74.609314
18518.554688	-74.449936
18561.621094	-74.978378
18604.687500	-72.816872
18647.753906	-74.023476
18690.820313	-74.069641
18733.886719	-72.643532
18776.953125	-74.329193
18820.019531	-73.716370
18863.085938	-74.976845
18906.152344	-74.037018
18949.218750	-73.090416
18992.285156	-74.427147
19035.351563	-73.690590
19078.417969	-75.096962
19121.484375	-74.063019
19164.550781	-74.641037
19207.617188	-73.892540
19250.683594	-74.287659
19293.750000	-74.102264
19336.816406	-74.587753
19379.882813	-74.025612
19422.949219	-74.438347
19466.015625	-73.653656
19509.082031	-73.965630
19552.148438	-74.736732
19595.214844	-74.254257
19638.281250	-75.101463
19681.347656	-73.670250
19724.414063	-73.074829
19767.480469	-73.844391
19810.546875	-74.109520
19853.613281	-74.103409
19896.679688	-76.136742
19939.746094	-74.346542
19982.812500	-74.667648
20025.878906	-73.181557
20068.945313	-74.304817
20112.011719	-74.214561
20155.078125	-73.877914
20198.144531	-74.310753
20241.210938	-73.313805
20284.277344	-73.451553
20327.343750	-74.182594
20370.410156	-74.383522
20413.476563	-74.148384
20456.542969	-73.883034
20499.609375	-73.686295
20542.675781	-73.627098
20585.742188	-73.495636
20628.808594	-73.908905
20671.875000	-74.542648
20714.941406	-73.677032
20758.007813	-73.178146
20801.074219	-75.244446
20844.140625	-74.585754
20887.207031	-74.744080
20930.273438	-74.216949
20973.339844	-73.974426
21016.406250	-74.794327
21059.472656	-74.148079
21102.539063	-74.802467
21145.605469	-73.987701
21188.671875	-74.644875
21231.738281	-74.113205
21274.804688	-75.345894
21317.871094	-74.886719
21360.937500	-75.359550
21404.003906	-75.130821
21447.070313	-75.373924
21490.136719	-74.498627
21533.203125	-75.489449
21576.269531	-75.314705
21619.335938	-74.890778
21662.402344	-74.804039
21705.468750	-75.110138
21748.535156	-75.113373
21791.601563	-75.175995
21834.667969	-74.879311
21877.734375	-74.745888
21920.800781	-74.954918
21963.867188	-74.850998
22006.933594	-75.167732
