Fréquence (Hz)	Niveau (dB)
43.066406	-43.414974
86.132813	-41.215931
129.199219	-17.841616
172.265625	-36.495476
215.332031	-33.595608
258.398438	-14.328970
301.464844	-29.018759
344.531250	-32.983238
387.597656	-17.110943
430.664063	-30.646450
473.730469	-34.625237
516.796875	-23.754969
559.863281	-35.670998
602.929688	-39.079418
645.996094	-28.492750
689.062500	-37.562889
732.128906	-41.203079
775.195313	-27.001671
818.261719	-34.672295
861.328125	-35.400578
904.394531	-28.597763
947.460938	-35.553631
990.527344	-42.039337
1033.593750	-41.761330
1076.660156	-46.150078
1119.726563	-48.758659
1162.792969	-49.186550
1205.859375	-49.332363
1248.925781	-51.521774
1291.992188	-51.982574
1335.058594	-51.640942
1378.125000	-52.412106
1421.191406	-52.584961
1464.257813	-54.394604
1507.324219	-54.326977
1550.390625	-54.128704
1593.457031	-54.276157
1636.523438	-55.185764
1679.589844	-55.234013
1722.656250	-55.937717
1765.722656	-55.047031
1808.789063	-55.050003
1851.855469	-56.816589
1894.921875	-55.515694
1937.988281	-54.516266
1981.054688	-57.506264
2024.121094	-57.349239
2067.187500	-54.967403
2110.253906	-57.267620
2153.320313	-57.089306
2196.386719	-52.388397
2239.453125	-52.658852
2282.519531	-51.911930
2325.585938	-44.027020
2368.652344	-46.542397
2411.718750	-48.751446
2454.785156	-49.228302
2497.851563	-53.275024
2540.917969	-55.253048
2583.984375	-54.637150
2627.050781	-54.149471
2670.117188	-56.814579
2713.183594	-55.680882
2756.250000	-56.995743
2799.316406	-58.246819
2842.382813	-53.059887
2885.449219	-53.616810
2928.515625	-52.904659
2971.582031	-43.637180
3014.648438	-45.442532
3057.714844	-48.730274
3100.781250	-44.955391
3143.847656	-45.649929
3186.914063	-43.476028
3229.980469	-37.178051
3273.046875	-42.952988
3316.113281	-45.738686
3359.179688	-44.000729
3402.246094	-48.995464
3445.312500	-54.299297
3488.378906	-51.782825
3531.445313	-54.263077
3574.511719	-57.161945
3617.578125	-58.431770
3660.644531	-60.035698
3703.710938	-61.617054
3746.777344	-62.394382
3789.843750	-61.890041
3832.910156	-60.341240
3875.976563	-61.175995
3919.042969	-61.629421
3962.109375	-64.457138
4005.175781	-62.811016
4048.242188	-64.623940
4091.308594	-65.196075
4134.375000	-63.654942
4177.441406	-63.998627
4220.507813	-64.544746
4263.574219	-64.379761
4306.640625	-63.662926
4349.707031	-65.615334
4392.773438	-61.544250
4435.839844	-63.287334
4478.906250	-65.457176
4521.972656	-65.121262
4565.039063	-64.971931
4608.105469	-65.021378
4651.171875	-64.946503
4694.238281	-65.650772
4737.304688	-65.313377
4780.371094	-66.354507
4823.437500	-66.136017
4866.503906	-66.102028
4909.570313	-65.959564
4952.636719	-66.711494
4995.703125	-66.491150
5038.769531	-66.557686
5081.835938	-66.185387
5124.902344	-66.681107
5167.968750	-67.236031
5211.035156	-65.835388
5254.101563	-65.390831
5297.167969	-65.863434
5340.234375	-66.614876
5383.300781	-66.857674
5426.367188	-67.592445
5469.433594	-67.522209
5512.500000	-66.757172
5555.566406	-67.410553
5598.632813	-66.712822
5641.699219	-66.790344
5684.765625	-65.887024
5727.832031	-67.492744
5770.898438	-66.297272
5813.964844	-67.126961
5857.031250	-66.951599
5900.097656	-68.050438
5943.164063	-68.065475
5986.230469	-67.810280
6029.296875	-67.693054
6072.363281	-68.582916
6115.429688	-67.292564
6158.496094	-67.547836
6201.562500	-67.837570
6244.628906	-68.295044
6287.695313	-67.502243
6330.761719	-67.830566
6373.828125	-66.909103
6416.894531	-66.877823
6459.960938	-67.771965
6503.027344	-67.170303
6546.093750	-66.718460
6589.160156	-66.860184
6632.226563	-67.264137
6675.292969	-66.973618
6718.359375	-68.074280
6761.425781	-64.764488
6804.492188	-64.363075
6847.558594	-61.687424
6890.625000	-60.064255
6933.691406	-61.204594
6976.757813	-64.196960
7019.824219	-67.374214
7062.890625	-67.157372
7105.957031	-65.794289
7149.023438	-66.273117
7192.089844	-66.291962
7235.156250	-66.564857
7278.222656	-69.034630
7321.289063	-68.285614
7364.355469	-69.917503
7407.421875	-66.785011
7450.488281	-63.050262
7493.554688	-66.432510
7536.621094	-67.165199
7579.687500	-64.580788
7622.753906	-64.768013
7665.820313	-65.951477
7708.886719	-65.029831
7751.953125	-68.235268
7795.019531	-69.460602
7838.085938	-68.069466
7881.152344	-69.077515
7924.218750	-67.784622
7967.285156	-70.255470
8010.351563	-69.447418
8053.417969	-69.299911
8096.484375	-69.665596
8139.550781	-70.156723
8182.617188	-70.896942
8225.683594	-70.010086
8268.750000	-69.178299
8311.816406	-68.557320
8354.882813	-67.374565
8397.949219	-67.878899
8441.015625	-65.240463
8484.082031	-67.213768
8527.148438	-66.752060
8570.214844	-67.109962
8613.281250	-63.722790
8656.347656	-63.916218
8699.414063	-64.893860
8742.480469	-67.168579
8785.546875	-68.742844
8828.613281	-70.348434
8871.679688	-69.901520
8914.746094	-70.367928
8957.812500	-69.591866
9000.878906	-68.195297
9043.945313	-68.178383
9087.011719	-69.037910
9130.078125	-69.889519
9173.144531	-71.244118
9216.210938	-68.827301
9259.277344	-68.002090
9302.343750	-67.666107
9345.410156	-67.747169
9388.476563	-69.455681
9431.542969	-66.883606
9474.609375	-69.177681
9517.675781	-71.129944
9560.742188	-70.893463
9603.808594	-69.814079
9646.875000	-70.113235
9689.941406	-70.970673
9733.007813	-70.780807
9776.074219	-70.505890
9819.140625	-70.989250
9862.207031	-71.366821
9905.273438	-70.713104
9948.339844	-70.062294
9991.406250	-70.728439
10034.472656	-70.987755
10077.539063	-71.980766
10120.605469	-70.334282
10163.671875	-71.442009
10206.738281	-72.078903
10249.804688	-72.908363
10292.871094	-71.509781
10335.937500	-70.957359
10379.003906	-70.994286
10422.070313	-70.948532
10465.136719	-71.947174
10508.203125	-71.905548
10551.269531	-71.651566
10594.335938	-73.112999
10637.402344	-71.921867
10680.468750	-71.843384
10723.535156	-72.130249
10766.601563	-72.610489
10809.667969	-70.622894
10852.734375	-71.619347
10895.800781	-71.292404
10938.867188	-72.153503
10981.933594	-71.442528
11025.000000	-72.719193
11068.066406	-71.911133
11111.132813	-72.591591
11154.199219	-72.568008
11197.265625	-72.860893
11240.332031	-72.302879
11283.398438	-72.728836
11326.464844	-72.159027
11369.531250	-72.893776
11412.597656	-72.291855
11455.664063	-72.873680
11498.730469	-71.879250
11541.796875	-73.948700
11584.863281	-72.130249
11627.929688	-71.942978
11670.996094	-72.460587
11714.062500	-72.102295
11757.128906	-72.335632
11800.195313	-71.762314
11843.261719	-71.604004
11886.328125	-72.085060
11929.394531	-72.789703
11972.460938	-73.168388
12015.527344	-72.862617
12058.593750	-73.500839
12101.660156	-73.159454
12144.726563	-71.793358
12187.792969	-73.425537
12230.859375	-73.824669
12273.925781	-73.233574
12316.992188	-73.664436
12360.058594	-72.362694
12403.125000	-73.272308
12446.191406	-72.879509
12489.257813	-72.980103
12532.324219	-72.654724
12575.390625	-73.602699
12618.457031	-73.361511
12661.523438	-74.926308
12704.589844	-73.037682
12747.656250	-72.330894
12790.722656	-72.835289
12833.789063	-74.069458
12876.855469	-73.473412
12919.921875	-74.084526
12962.988281	-74.263100
13006.054688	-73.559608
13049.121094	-73.878838
13092.187500	-72.967262
13135.253906	-73.264023
13178.320313	-73.760445
13221.386719	-73.687157
13264.453125	-73.728859
13307.519531	-73.618370
13350.585938	-73.428795
13393.652344	-73.248703
13436.718750	-73.646271
13479.785156	-72.965157
13522.851563	-72.406746
13565.917969	-73.560570
13608.984375	-74.127502
13652.050781	-73.293091
13695.117188	-73.520302
13738.183594	-73.230469
13781.250000	-75.940628
13824.316406	-74.359772
13867.382813	-73.321991
13910.449219	-72.749695
13953.515625	-73.522011
