Fréquence (Hz)	Niveau (dB)
43.066406	-40.204659
86.132813	-35.370655
129.199219	-24.093355
172.265625	-34.189735
215.332031	-26.648237
258.398438	-22.555201
301.464844	-32.777775
344.531250	-28.546846
387.597656	-33.911575
430.664063	-34.838627
473.730469	-24.744167
516.796875	-34.182701
559.863281	-39.285122
602.929688	-39.696037
645.996094	-44.572811
689.062500	-39.628101
732.128906	-36.479019
775.195313	-46.235859
818.261719	-42.321190
861.328125	-39.475639
904.394531	-46.125607
947.460938	-42.987644
990.527344	-47.115990
1033.593750	-49.430111
1076.660156	-45.785320
1119.726563	-47.833607
1162.792969	-50.298744
1205.859375	-45.662189
1248.925781	-50.975605
1291.992188	-53.438801
1335.058594	-50.987682
1378.125000	-55.015110
1421.191406	-53.603737
1464.257813	-49.979313
1507.324219	-54.278294
1550.390625	-51.011997
1593.457031	-49.825428
1636.523438	-54.878448
1679.589844	-54.691299
1722.656250	-56.202442
1765.722656	-56.706707
1808.789063	-52.690571
1851.855469	-54.279243
1894.921875	-54.798454
1937.988281	-51.361828
1981.054688	-53.699547
2024.121094	-54.888489
2067.187500	-50.020973
2110.253906	-55.028645
2153.320313	-55.696846
2196.386719	-54.150364
2239.453125	-56.328068
2282.519531	-57.448345
2325.585938	-55.314041
2368.652344	-57.737137
2411.718750	-59.502937
2454.785156	-57.191727
2497.851563	-58.252785
2540.917969	-56.213531
2583.984375	-55.326336
2627.050781	-56.770695
2670.117188	-55.863914
2713.183594	-55.776775
2756.250000	-56.069736
2799.316406	-53.597870
2842.382813	-53.467697
2885.449219	-48.823402
2928.515625	-41.510254
2971.582031	-46.368256
3014.648438	-53.429329
3057.714844	-43.721565
3100.781250	-49.487530
3143.847656	-48.739422
3186.914063	-45.656063
3229.980469	-53.346107
3273.046875	-49.838390
3316.113281	-44.476124
3359.179688	-45.962723
3402.246094	-42.297398
3445.312500	-43.207352
3488.378906	-48.611568
3531.445313	-52.863911
3574.511719	-53.560345
3617.578125	-54.851349
3660.644531	-49.968578
3703.710938	-53.369099
3746.777344	-58.383778
3789.843750	-52.159595
3832.910156	-56.977226
3875.976563	-61.110744
3919.042969	-59.154697
