Fréquence (Hz)	Niveau (dB)
43.066406	-36.719955
86.132813	-32.469631
129.199219	-23.714434
172.265625	-34.189388
215.332031	-26.598301
258.398438	-26.037233
301.464844	-33.243317
344.531250	-26.877562
387.597656	-32.536797
430.664063	-30.086365
473.730469	-16.509443
516.796875	-31.540884
559.863281	-35.916267
602.929688	-34.279926
645.996094	-42.020782
689.062500	-39.091042
732.128906	-38.690445
775.195313	-46.335613
818.261719	-42.531605
861.328125	-42.495312
904.394531	-45.556877
947.460938	-42.803276
990.527344	-48.513191
1033.593750	-48.591255
1076.660156	-47.586967
1119.726563	-50.372620
1162.792969	-48.200867
1205.859375	-46.410912
1248.925781	-54.699722
1291.992188	-52.741356
1335.058594	-53.124660
1378.125000	-53.470173
1421.191406	-52.335316
1464.257813	-53.013054
1507.324219	-53.465584
1550.390625	-51.128513
1593.457031	-54.020592
1636.523438	-56.174965
1679.589844	-54.865948
1722.656250	-57.040386
1765.722656	-55.862930
1808.789063	-51.157093
1851.855469	-56.665871
1894.921875	-53.000153
1937.988281	-48.840439
1981.054688	-52.021870
2024.121094	-49.996593
2067.187500	-53.624485
2110.253906	-54.610390
2153.320313	-52.845749
2196.386719	-56.622723
2239.453125	-57.580853
2282.519531	-54.827213
2325.585938	-60.225468
2368.652344	-58.926147
2411.718750	-59.188934
2454.785156	-60.483097
2497.851563	-57.543144
2540.917969	-57.936047
2583.984375	-57.699421
2627.050781	-55.037949
2670.117188	-56.993473
2713.183594	-56.775757
2756.250000	-54.920330
2799.316406	-55.755196
2842.382813	-52.643078
2885.449219	-45.647713
2928.515625	-48.412731
2971.582031	-51.563950
3014.648438	-43.804836
3057.714844	-47.255013
3100.781250	-46.293819
3143.847656	-44.602375
3186.914063	-51.424511
3229.980469	-52.095375
3273.046875	-49.467007
3316.113281	-47.787262
3359.179688	-44.671516
3402.246094	-46.296112
3445.312500	-49.375671
3488.378906	-46.517029
3531.445313	-55.422707
3574.511719	-56.657150
3617.578125	-53.587547
3660.644531	-55.157284
3703.710938	-55.830193
3746.777344	-56.685032
3789.843750	-57.486767
3832.910156	-56.482841
3875.976563	-59.247154
3919.042969	-61.879139
3962.109375	-59.065838
4005.175781	-59.538609
4048.242188	-59.976212
4091.308594	-60.234005
4134.375000	-63.815784
4177.441406	-64.131279
4220.507813	-63.650993
4263.574219	-65.356331
4306.640625	-63.579876
4349.707031	-63.534679
4392.773438	-64.572487
4435.839844	-63.419998
4478.906250	-63.031158
4521.972656	-65.883759
4565.039063	-65.375839
4608.105469	-66.624908
4651.171875	-64.682854
4694.238281	-66.444550
4737.304688	-66.100922
4780.371094	-64.996841
4823.437500	-66.764267
4866.503906	-66.653473
4909.570313	-66.394814
4952.636719	-65.909698
4995.703125	-67.241852
5038.769531	-66.930199
5081.835938	-67.392052
5124.902344	-67.247826
5167.968750	-67.746002
5211.035156	-67.857895
5254.101563	-67.447365
5297.167969	-68.086197
5340.234375	-67.454781
5383.300781	-67.753426
5426.367188	-65.749786
5469.433594	-65.332909
5512.500000	-65.679359
5555.566406	-66.135872
5598.632813	-65.804741
5641.699219	-67.517090
5684.765625	-65.582336
5727.832031	-63.695518
5770.898438	-62.105938
5813.964844	-60.058140
5857.031250	-65.525337
5900.097656	-67.633591
5943.164063	-67.895851
5986.230469	-67.468826
6029.296875	-68.269211
6072.363281	-68.728065
6115.429688	-68.720497
6158.496094	-68.663940
6201.562500	-68.609138
6244.628906	-68.955353
6287.695313	-69.575272
6330.761719	-68.147972
6373.828125	-68.137131
6416.894531	-68.893364
6459.960938	-68.983589
6503.027344	-70.444931
6546.093750	-68.999977
6589.160156	-69.402527
6632.226563	-68.983391
6675.292969	-69.978775
6718.359375	-68.862137
6761.425781	-69.123924
6804.492188	-68.497765
6847.558594	-68.827873
6890.625000	-69.566429
6933.691406	-69.518158
6976.757813	-69.385818
7019.824219	-68.836334
7062.890625	-68.477379
7105.957031	-69.458733
7149.023438	-70.102928
7192.089844	-69.724136
7235.156250	-70.824333
7278.222656	-70.633217
7321.289063	-70.136368
7364.355469	-70.145630
7407.421875	-70.313004
7450.488281	-70.449516
7493.554688	-70.530655
7536.621094	-69.629166
7579.687500	-70.261749
7622.753906	-69.948875
7665.820313	-70.234138
7708.886719	-71.646255
7751.953125	-69.919121
7795.019531	-71.049095
7838.085938	-69.794601
7881.152344	-70.165504
7924.218750	-70.587296
7967.285156	-71.311874
8010.351563	-71.358757
8053.417969	-70.278564
8096.484375	-70.838196
8139.550781	-71.101685
8182.617188	-70.855995
8225.683594	-71.036034
8268.750000	-71.075089
8311.816406	-70.782753
8354.882813	-71.033440
8397.949219	-72.193947
8441.015625	-71.146416
8484.082031	-70.852623
8527.148438	-71.258247
8570.214844	-71.060364
8613.281250	-71.225655
8656.347656	-71.613640
8699.414063	-71.382111
8742.480469	-72.010033
8785.546875	-72.691025
8828.613281	-71.827675
8871.679688	-71.381638
8914.746094	-70.715759
8957.812500	-72.495186
9000.878906	-71.528725
9043.945313	-72.639725
9087.011719	-72.294464
9130.078125	-71.320351
9173.144531	-70.512505
9216.210938	-70.699127
9259.277344	-69.486473
9302.343750	-70.374680
9345.410156	-71.284760
9388.476563	-72.565697
9431.542969	-72.911392
9474.609375	-71.531303
9517.675781	-71.456795
9560.742188	-72.533920
9603.808594	-72.578003
9646.875000	-72.255005
9689.941406	-71.757759
9733.007813	-72.333626
9776.074219	-72.456825
9819.140625	-72.127167
9862.207031	-72.417313
9905.273438	-72.800743
9948.339844	-72.931755
9991.406250	-72.300926
10034.472656	-72.998177
10077.539063	-73.458458
10120.605469	-72.410378
10163.671875	-72.852280
10206.738281	-71.740944
10249.804688	-72.587723
10292.871094	-72.814583
10335.937500	-72.182861
10379.003906	-72.535179
10422.070313	-72.233330
10465.136719	-72.983849
10508.203125	-73.142639
10551.269531	-72.578903
10594.335938	-72.082970
10637.402344	-73.974007
10680.468750	-73.219307
10723.535156	-71.646774
10766.601563	-72.825325
10809.667969	-73.070679
10852.734375	-72.126228
10895.800781	-71.993523
10938.867188	-73.600914
10981.933594	-73.554756
11025.000000	-72.808617
11068.066406	-73.694420
11111.132813	-72.150421
11154.199219	-72.312752
11197.265625	-72.879196
11240.332031	-74.481071
11283.398438	-73.414047
11326.464844	-73.140152
11369.531250	-73.468964
11412.597656	-73.285316
11455.664063	-72.967453
11498.730469	-72.626991
11541.796875	-73.969566
11584.863281	-71.865593
11627.929688	-73.203537
11670.996094	-73.436859
11714.062500	-73.756348
11757.128906	-72.908363
11800.195313	-73.865021
11843.261719	-73.384827
11886.328125	-73.494339
11929.394531	-72.968941
11972.460938	-73.884239
12015.527344	-73.456650
12058.593750	-73.045303
12101.660156	-74.239578
12144.726563	-74.444397
12187.792969	-73.854950
12230.859375	-73.331161
12273.925781	-74.771225
12316.992188	-74.118507
12360.058594	-75.413116
12403.125000	-73.443726
12446.191406	-75.170532
12489.257813	-73.856140
12532.324219	-72.080170
12575.390625	-73.885567
12618.457031	-73.108009
12661.523438	-74.219818
12704.589844	-73.566833
12747.656250	-74.279953
12790.722656	-74.008408
12833.789063	-73.246521
12876.855469	-74.389748
12919.921875	-72.876381
12962.988281	-74.101784
13006.054688	-74.212357
13049.121094	-73.233925
13092.187500	-72.941216
13135.253906	-73.102921
13178.320313	-74.175240
13221.386719	-74.478973
13264.453125	-73.744865
13307.519531	-75.081039
13350.585938	-74.501350
13393.652344	-74.883179
13436.718750	-73.657837
13479.785156	-74.133095
13522.851563	-73.354126
13565.917969	-73.767639
13608.984375	-74.654915
13652.050781	-74.795753
13695.117188	-73.693504
13738.183594	-73.864807
13781.250000	-74.532234
13824.316406	-74.171631
13867.382813	-72.858650
13910.449219	-73.430679
13953.515625	-74.240227
13996.582031	-73.176117
14039.648438	-74.383270
14082.714844	-73.917770
14125.781250	-73.753403
14168.847656	-74.789063
14211.914063	-75.341225
14254.980469	-74.718414
14298.046875	-74.002296
14341.113281	-74.855690
14384.179688	-73.993416
